"Artist" "Track" "Album" "danceability" "energy" "loudness" "speechiness" "acousticness" "instrumentalness" "liveness" "tempo" "length" "time_signature" "A" "B" "C" "D" "AnB" "AnC" "AnD" "BnC" "BnD" "CnD" "AnBnC" "AnBnD" "AnCnD" "BnCnD" "AnBnCnD"
"1" "tajima hal" "Grape Choice" "Grape Choice" 0.704 0.587 -9.815 0.312 0.341 0.00451 0.141 169.943 151844 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" "CHROMANCE" "Wrap Me In Plastic - Marcus Layton Radio Edit" "Wrap Me In Plastic (Marcus Layton Radio Edit)" 0.917 0.612 -2.183 0.0854 0.238 2.28e-05 0.0585 89.961 193320 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" "Stevie Wonder" "Sir Duke" "Songs In The Key Of Life" 0.588 0.568 -9.766 0.0672 0.16 0 0.0792 106.938 232760 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"4" "MishCatt" "Midnight Sun - Acoustic Version" "Midnight Sun (Acoustic Version)" 0.59 0.0991 -15.925 0.049 0.915 4.71e-06 0.109 117.543 193906 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" "Gloria Estefan" "Sólo Por Tu Amor" "Alma Caribeña" 0.561 0.477 -8.123 0.0355 0.295 0 0.0778 105.42 243426 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"6" "Gloria Estefan" "Oye Mi Canto (Hear My Voice) - English" "Cuts Both Ways" 0.671 0.684 -12.216 0.0391 0.245 0.00406 0.0577 119.525 291200 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"7" "Faber" "Wem du's heute kannst besorgen" "Sei ein Faber im Wind" 0.607 0.788 -7.21 0.0393 0.199 0 0.172 99.212 181667 4 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"8" "Vargas & Lagola" "A Power In Letting Go" "A Power In Letting Go" 0.497 0.853 -5.632 0.0318 0.00308 0.00279 0.27 103.135 172395 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" "Joel Sunny" "Why'd You Only Call Me When You're High (violin)" "Why'd You Only Call Me When You're High (violin)" 0.247 0.604 -3.787 0.0313 0.762 0.0926 0.36 92.668 199905 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" "Pixies" "Where Is My Mind? - Remastered" "Surfer Rosa" 0.519 0.441 -14.178 0.0353 0.0204 0.000453 0.076 81.334 234973 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" "DOPE LEMON" "Shadows In The Moonlight" "Rose Pink Cadillac" 0.669 0.605 -10.425 0.034 0.587 0.916 0.3 105.965 396334 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" "Bruxas" "Plantas Falsas" "Más Profundo" 0.773 0.541 -11.242 0.0518 0.00806 0.106 0.114 108.984 373340 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" "The Struts" "Body Talks (feat. Kesha)" "YOUNG&DANGEROUS" 0.537 0.92 -3.438 0.274 0.00592 0 0.34 185.703 177160 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" "Nothing But Thieves" "Itch" "Nothing But Thieves (Deluxe)" 0.305 0.925 -3.184 0.0981 5.71e-05 0.00336 0.108 149.727 204613 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"15" "Céline Dion" "My Heart Will Go On - Love Theme from \"Titanic\"" "The Essential Celine Dion" 0.421 0.36 -8.872 0.0297 0.723 0 0.194 99.414 280613 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
