Artist,Track,Album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,length,time_signature,A,B,C,D,AnB,AnC,AnD,BnC,BnD,CnD,AnBnC,AnBnD,AnCnD,BnCnD,AnBnCnD
Son Mieux,Can’t Get Enough,The Mustard Seed,0.625,0.794,-6.168,0.0475,0.415,0.000282,0.338,98.02,194853,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taste,Blister On The Moon,Taste,0.393,0.588,-15.232,0.04,0.0144,0.0102,0.238,136.535,204893,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Allen Toussaint,Last Train - Remastered Version,Southern Nights,0.581,0.781,-8.89,0.0443,0.119,0.0189,0.0786,87.757,181773,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STR4TA,We Like It,Aspects,0.586,0.804,-9.57,0.0398,0.0293,0.644,0.0992,119.978,311213,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scary Pockets,Doo Wop (That Thing) / Just A Friend / Ex-Factor Mashup,Doo Wop (That Thing) / Just A Friend / Ex-Factor Mashup,0.748,0.425,-11.208,0.121,0.601,8.13e-05,0.145,84.367,198000,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Vance Joy,You Can Call Me Al - Recorded at Spotify Studios NYC,Spotify Singles,0.796,0.566,-8.484,0.0574,0.165,0.0291,0.0802,130.776,188528,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bot'Ox,Blue Steel,Babylon by Car,0.73,0.803,-4.958,0.0496,0.0104,0.779,0.156,99.985,194533,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kurt Vile,One Trick Ponies,Bottle It In,0.68,0.842,-5.32,0.0258,0.148,0.00283,0.125,94.524,321160,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Stone Roses,I Am the Resurrection - Remastered,The Stone Roses,0.357,0.866,-6.324,0.0411,0.00191,0.114,0.0815,129.071,492947,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Avener,Glory Box,Happy Deep House,0.68,0.83,-5.399,0.0491,0.607,0.0648,0.108,98.002,259160,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Strumbellas,Sailor's Blues,My Father and the Hunter,0.558,0.821,-5.132,0.0536,0.0439,9.85e-05,0.145,126.688,147240,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Father John Misty,When You're Smiling and Astride Me,"I Love You, Honeybear",0.569,0.523,-6.415,0.0265,0.204,2.92e-05,0.121,110.929,274053,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Linkin Park,Sorry for Now,One More Light,0.608,0.584,-6.652,0.0352,0.00995,0.0,0.203,94.956,203653,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Run River North,29,Drinking From a Salt Pond,0.439,0.903,-4.655,0.0692,0.000268,0.0,0.249,156.974,207120,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sufjan Stevens,Death with Dignity,Carrie & Lowell,0.514,0.16,-21.04,0.0383,0.986,0.0176,0.113,169.898,239508,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry Jamison,Middle Name,The Years,0.367,0.114,-16.176,0.0339,0.836,0.0017,0.128,105.0,212840,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Dury,Dance Little Rude Boy,Ten More Turnips from the Tip,0.673,0.869,-5.154,0.0648,0.201,1.14e-05,0.148,106.192,274653,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Octave Cat,Metropolis,Under Pressure (Deluxe),0.522,0.856,-5.185,0.121,0.432,0.0,0.103,167.734,295360,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some Sprouts,Clowns,Florescer,0.596,0.452,-12.595,0.0275,0.151,0.611,0.108,134.99,228732,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Keaton Henson,"Sweetheart, What Have You Done To Us",Birthdays,0.41,0.171,-13.112,0.0339,0.91,0.00146,0.189,126.327,210107,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Circa Waves,Lemonade,Lemonade,0.789,0.692,-4.733,0.0295,0.0326,0.00548,0.157,103.975,220107,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Closed on Sunday,cantina band ~ star wars lofi,cantina band ~ star wars lofi,0.766,0.177,-15.398,0.449,0.952,0.684,0.087,169.962,68314,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonas Gewald,Change,Change,0.772,0.694,-8.482,0.273,0.11,0.0,0.103,95.048,174316,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Rosenthal,All of Them Dreams,Bolu,0.452,0.183,-14.679,0.0365,0.929,0.223,0.128,130.591,152068,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The 1975,Is There Somebody Who Can Watch You,The 1975 (Deluxe),0.372,0.0305,-19.162,0.0497,0.923,0.000985,0.0851,112.909,175567,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunday Sun,Does She Really Want to Know,Live Out Loud,0.536,0.774,-6.537,0.0395,0.0475,0.0,0.304,150.026,194560,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicholas Hooper,Dumbledore's Army,Harry Potter And The Order Of The Phoenix (Original Motion Picture Soundtrack),0.337,0.119,-21.437,0.0382,0.793,0.794,0.161,80.265,160253,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Donkeys,I Like The Way You Walk,Born With Stripes,0.636,0.642,-5.893,0.0391,0.144,0.000963,0.117,97.338,251240,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biffy Clyro,Many of Horror,Only Revolutions,0.498,0.647,-7.631,0.0358,0.00427,9.87e-06,0.146,163.87,258573,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPS,Way to be Loved,Picture You Staring,0.582,0.515,-9.283,0.0578,0.608,0.000641,0.0931,115.732,263397,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
John Williams,The Patronus Light,Harry Potter and the Prisoner of Azkaban / Original Motion Picture Soundtrack,0.259,0.0962,-33.463,0.0449,0.992,0.994,0.0969,66.128,72680,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Day To Remember,All Signs Point to Lauderdale,What Separates Me From You,0.42,0.983,-3.437,0.113,0.000263,0.0,0.114,149.958,197200,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
